,symbol,HIGH,LOW,OPEN,LAST TRADED PRICE,%change,TOTAL TRADED VOLUME,avg,price_volume,pv_cum_sum,cum_v,vwap,Action
65,CADILAHC,430.0,414.5,425.5,416.0,-1.96,2150633.0,420.1666666666667,903624298.8333334,6907101380.5,16410445.0,420.8966533509603,Long
66,COLPAL,1476.0,1434.1,1462.0,1442.3,-1.53,624782.0,1450.8,906433725.6,6639747078.933333,4569701.0,1452.9937689431613,Long
67,CONCOR,387.0,379.8,385.55,385.35,-0.05,763282.0,384.05,293138452.1,2250707080.8833337,5862396.0,383.92273072022664,Short
68,DLF,172.9,164.55,172.9,166.25,-2.95,7405106.0,167.9,1243317297.4,9494710502.933334,56576065.0,167.82203751592363,Long
69,DABUR,521.8,509.7,519.95,512.4,-1.3,1611759.0,514.6333333333333,829464906.6999999,6358470750.349999,12350156.0,514.8494278412353,Long
70,GICRE,122.8,119.75,122.8,120.0,-1.23,84186.0,120.85000000000001,10173878.100000001,75274576.96666667,622244.0,120.97276464966583,Long
71,GODREJCP,691.8,667.1,686.0,669.75,-1.69,1354681.0,676.2166666666667,916057870.2166667,7146372192.716667,10562623.0,676.571737220638,Long
72,HDFCAMC,2309.0,2275.1,2308.0,2296.65,-0.53,118246.0,2293.5833333333335,271207054.8333334,1927840145.4,840521.0,2293.6251984186,Short
73,HAVELLS,734.0,721.25,730.0,726.15,-0.08,1173311.0,727.1333333333333,853153538.4666667,6583177599.050001,9052553.0,727.2177913843753,Long
74,HINDPETRO,183.75,173.7,182.0,174.35,-4.49,5044940.0,177.26666666666665,894299697.3333333,6433145544.216666,36190467.0,177.7580141261141,Long
75,HINDZINC,242.5,234.3,242.0,234.35,-2.21,1793883.0,237.04999999999998,425239965.15,3274838473.6333337,13790586.0,237.46913101686422,Long
76,ICICIGI,1294.85,1236.0,1272.0,1241.6,-1.29,348451.0,1257.4833333333333,438171324.98333335,3420091070.833333,2717552.0,1258.5190902817437,Long
77,ICICIPRULI,414.25,401.25,410.8,403.4,-1.3,1021754.0,406.3,415138650.2,3177220242.6666665,7820928.0,406.24593944179855,Long
78,IGL,398.9,390.5,391.0,394.2,0.47,2375586.0,394.5333333333333,937247863.1999999,7215886447.016666,18265070.0,395.0648120711646,Long
79,NAUKRI,3645.15,3500.0,3645.15,3511.2,-3.67,504799.0,3552.1166666666663,1793104941.2166665,13530259474.816666,3804695.0,3556.200818939932,Long
80,INDIGO,1387.0,1344.4,1370.0,1354.1,-1.34,430943.0,1361.8333333333333,586872542.1666666,4607307883.083334,3385465.0,1360.9084374180013,Long
81,LTI,3102.0,2991.0,3085.0,2992.0,-2.26,149786.0,3028.3333333333335,453601936.6666667,3341624797.866667,1098340.0,3042.4320318541313,Long
82,LUPIN,997.65,959.5,992.95,963.6,-2.81,2108191.0,973.5833333333334,2052499621.0833335,15216351822.966667,15607289.0,974.9516282402835,Long
83,MARICO,361.85,345.75,359.2,346.0,-3.51,3031827.0,351.2,1064777642.4,8184723200.599999,23256711.0,351.92952264832286,Long
84,MOTHERSUMI,111.35,105.4,110.55,106.85,-3.26,12149356.0,107.86666666666667,1310510533.8666668,10237118726.683334,94937180.0,107.83044879449056,Long
85,MUTHOOTFIN,1194.2,1153.15,1185.0,1186.7,0.19,1187505.0,1178.0166666666667,1398900681.75,10165422210.316666,8644254.0,1175.9744924566846,Short
86,NMDC,84.95,82.45,84.85,83.4,-1.71,3227993.0,83.60000000000001,269860214.8,2112505808.5166671,25290827.0,83.52853817380773,Long
87,OFSS,3369.0,3263.95,3367.0,3266.0,-1.35,28737.0,3299.65,94822042.05,716248300.6,216673.0,3305.664760260854,Long
88,PETRONET,238.5,229.05,233.0,230.8,-1.07,4100846.0,232.78333333333333,954608601.3666667,7551468606.349999,32464554.0,232.60657165812287,Long
89,PIDILITIND,1508.7,1464.15,1506.0,1472.7,-1.84,334777.0,1481.8500000000001,496089297.45000005,3648029463.1000004,2458851.0,1483.6317707335663,Long
90,PEL,1325.0,1281.3,1325.0,1288.0,-2.95,636226.0,1298.1000000000001,825884970.6000001,6248200714.150001,4810357.0,1298.905822197812,Long
91,PFC,90.65,87.9,89.5,88.2,-2.0,2624176.0,88.91666666666667,233332982.6666667,1838455716.516667,20691625.0,88.85023368230706,Long
92,PGHH,10398.0,10209.9,10301.0,10340.0,0.29,2474.0,10315.966666666667,25521701.533333335,200884997.7,19457.0,10324.561736136095,Short
93,PNB,28.25,27.45,27.55,28.05,2.37,25513124.0,27.916666666666668,712241378.3333334,5492358897.650001,196741568.0,27.91661647044513,Short
94,SBICARD,818.0,793.1,807.15,798.2,-1.12,1794169.0,803.1,1440897123.9,11238042471.5,14003158.0,802.5362901354109,Long
95,SIEMENS,1284.55,1260.5,1282.95,1280.5,0.12,333745.0,1275.1833333333334,425586061.5833334,3222420563.1500006,2527493.0,1274.9473739986622,Short
96,TATACONSUM,484.3,470.15,474.9,473.4,0.13,5031969.0,475.95,2394965645.5499997,18677795504.916668,39203120.0,476.43645467291043,Long
97,TORNTPHARM,2774.4,2643.6,2752.9,2651.3,-3.02,694175.0,2689.766666666667,1867168775.8333335,14448648933.1,5369376.0,2690.9363272566497,Long
98,UBL,965.85,940.0,964.95,949.05,-1.15,1172652.0,951.6333333333332,1115934731.6,8703466019.233334,9144530.0,951.7674521526349,Long
99,MCDOWELL-N,529.45,512.65,528.0,515.3,-2.16,666652.0,519.1333333333333,346081274.93333334,2609838480.383333,5022580.0,519.6210872466607,Long
